,name,lat&lng,distance,drivingtime
0,6315 Forbes Ave,"['40.4381951', '-79.91846129999999']",2.9 km,8 mins
1,5506 Fifth Ave,"['40.4487073', '-79.9319359']",1.5 km,5 mins
2,5520 Fifth Ave,"['40.4488332', '-79.9314907']",1.5 km,5 mins
3,5255 Forbes Ave,"['40.4415948', '-79.9361545']",1.0 km,4 mins
4,6224 Fifth Ave,"['40.4523772', '-79.9213882']",2.5 km,7 mins
5,5300 Fifth Ave,"['40.4479692', '-79.9347829']",1.2 km,4 mins
6,5143 Fifth Ave,"['40.4480379', '-79.9371053']",1.0 km,4 mins
7,1626 Denniston St,"['40.4396484', '-79.91829729999999']",2.8 km,7 mins
8,5530 Fifth Ave,"['40.4488203', '-79.93111909999999']",1.6 km,5 mins
9,5620 Fifth Ave,"['40.4494423', '-79.9296763']",1.7 km,5 mins
