,address,urls,pics,price,bed,baths,sqFt,policy,distance,drivingtime
0,6315 Forbes Ave,https://www.redfin.com/PA/Pittsburgh/Maxon-Towers/apartment/73534257,https://ssl.cdn-redfin.com/photo/rent/df55d365-7638-4c97-b178-88bca359308a/islphoto/genIsl.0_1.jpg,"$1,570-$1,980/mo",1--2,1--2,700-950,Parking,2.9 km,8 mins
1,5506 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/5506-Fifth-Ave-15232/apartment/74749454,https://ssl.cdn-redfin.com/photo/rent/d5794a34-341d-495b-a4d2-0e327fb7c611/islphoto/genIsl.0_1.jpg,"$1,995/mo",3,1,—,,1.5 km,5 mins
2,5520 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/5520-Fifth-Ave-15232/apartment/73557768,https://ssl.cdn-redfin.com/photo/rent/a0ea71d3-49e8-47a0-9006-1f43ab7d38d8/islphoto/genIsl.0_1.jpg,"$1,430/mo",2,1,735,Cats Welcome,1.5 km,5 mins
3,5255 Forbes Ave,https://www.redfin.com/PA/Pittsburgh/5255-Forbes-Ave-15217/apartment/177437600,https://ssl.cdn-redfin.com/photo/rent/6486888f-e5da-4aa6-b6aa-d22f149617fc/bigphoto/0_2.jpg,"$3,000/mo",3,1,—,,1.0 km,4 mins
4,6224 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/6224-Fifth-Ave-15232/apartment/74749300,https://ssl.cdn-redfin.com/photo/rent/57a797f2-d9fe-4f81-850a-a2bf8a0a2efd/islphoto/genIsl.0_2.jpg,"$1,255/mo",2,1,800,Cats Welcome,2.5 km,7 mins
5,5300 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/5300-Fifth-Ave-15232/home/74665797,https://ssl.cdn-redfin.com/photo/rent/b6bb894e-ea2f-496c-892c-a65bba51209b/islphoto/genIsl.0_1.jpg,"$1,575/mo",2,1,—,,1.2 km,4 mins
6,5143 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/5143-Fifth-Ave-15232/apartment/177445384,https://ssl.cdn-redfin.com/photo/rent/36958de7-2ee5-4b4d-9c89-c0731d830382/islphoto/genIsl.0_1.jpg,"$2,700/mo",3,2,—,,1.0 km,4 mins
7,1626 Denniston St,https://www.redfin.com/PA/Pittsburgh/1626-Denniston-St-15217/home/74751225,https://ssl.cdn-redfin.com/photo/rent/6c9fd241-dd8e-4b8e-8df7-115cb2941e38/islphoto/genIsl.0_1.jpg,"$1,565/mo",3,1,—,Cats Welcome,2.8 km,7 mins
8,5530 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/5530-Fifth-Ave-15232/apartment/177414096,https://ssl.cdn-redfin.com/photo/rent/022d5a8a-c2d3-490c-97a6-360ef9abb56d/islphoto/genIsl.0_1.jpg,Price Unavailable,—,—,—,Cats Welcome,1.6 km,5 mins
9,5620 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/Negley-Court/apartment/74749417,https://ssl.cdn-redfin.com/photo/rent/461363c5-a2cc-46e1-8f95-1d70b0b242db/islphoto/genIsl.0_1.jpg,$940/mo,1,1,533,Cats Welcome,1.7 km,5 mins
