,name,lat&lng,distance,drivingtime
0,3955 Bigelow Blvd,"['40.4529229', '-79.9536756']",1.6 km,7 mins
1,Oakland Apartments,"['40.43209299999999', '-79.9584886']",2.5 km,8 mins
2,321 Melwood Ave,"['40.4527533', '-79.951512']",1.5 km,7 mins
3,3889 Bigelow Blvd,"['40.4546131', '-79.95430929999999']",2.5 km,7 mins
4,4600 Bayard St,"['40.4497159', '-79.9502964']",1.2 km,5 mins
5,325 N Craig St Unit 701,"['40.4526177', '-79.95288880000001']",1.5 km,6 mins
6,222 Melwood Ave Unit 302,"['40.4508529', '-79.94982910000002']",1.9 km,8 mins
7,3883 Bigelow Blvd Unit 2,"['40.4548947', '-79.9544562']",2.5 km,7 mins
8,222 Melwood Ave Unit 504,"['40.4508529', '-79.94982910000002']",1.9 km,8 mins
9,225 N Neville St,"['40.4531891', '-79.9505453']",1.6 km,6 mins
10,325 N Craig St Unit 604,"['40.4526177', '-79.95288880000001']",1.5 km,6 mins
11,330 Melwood Ave Unit 1,"['40.453231', '-79.9511186']",1.6 km,7 mins
12,217 N Neville St,"['40.453346', '-79.950667']",1.6 km,6 mins
13,286 N Bellefield Ave,"['40.4508056', '-79.9535663']",1.6 km,6 mins
14,221 N Dithridge St Unit 1,"['40.4494849', '-79.9524299']",1.7 km,7 mins
15,4521 Centre Ave,"['40.4519297', '-79.95250229999999']",1.4 km,6 mins
16,245 N Dithridge St,"['40.4501123', '-79.95278309999999']",1.7 km,7 mins
17,317 N Craig St Unit 105,"['40.4523736', '-79.9528014']",1.5 km,6 mins
18,222 Melwood Ave Unit 701,"['40.4508529', '-79.94982910000002']",1.9 km,8 mins
19,275 N Dithridge St,"['40.4508971', '-79.9532603']",1.6 km,6 mins
20,229 N Craig St Unit 301,"['40.4506412', '-79.95168679999999']",1.3 km,6 mins
21,265 N Dithridge St Unit 6,"['40.4506492', '-79.95312919999999']",1.6 km,7 mins
22,Dawson Village Apartments,"['40.4344193', '-79.9531878']",2.2 km,7 mins
23,513 Zulema St,"['40.4360454', '-79.95557099999999']",3.1 km,7 mins
24,367 Coltart Ave,"['40.4365138', '-79.9568444']",2.1 km,7 mins
25,243 Halket Pl,"['40.43789049999999', '-79.95969']",1.9 km,6 mins
26,3458 Bates St,"['40.4366', '-79.9552381']",1.9 km,6 mins
27,237 Semple St Unit 2,"['40.43950239999999', '-79.95767479999999']",1.6 km,5 mins
28,3507 Boulevard of the Allies,"['40.4352307', '-79.95602819999999']",2.2 km,7 mins
29,304 Meyran Ave,"['40.4388921', '-79.9565736']",2.0 km,7 mins
30,415 McKee Pl,"['40.4363507', '-79.9548666']",3.1 km,8 mins
31,3603 Dawson St,"['40.436468', '-79.95295209999999']",2.0 km,6 mins
32,3624 Bates St,"['40.4377311', '-79.9540908']",1.8 km,6 mins
33,3505 Boulevard of the Allies,"['40.4352455', '-79.95608949999999']",2.1 km,6 mins
34,3729 Dawson St Unit 1,"['40.4381666', '-79.9522004']",1.7 km,5 mins
35,23 Welsford St,"['40.4354964', '-79.95565189999999']",3.1 km,7 mins
36,3510 Louisa St,"['40.4385007', '-79.9572596']",1.7 km,6 mins
37,519 Zulema St,"['40.4359512', '-79.9553335']",3.1 km,7 mins
38,19 Welsford St,"['40.4353971', '-79.95564399999999']",3.1 km,7 mins
39,402 Atwood St,"['40.4378378', '-79.9539597']",1.8 km,5 mins
40,3608 Dawson St,"['40.4365612', '-79.9524299']",1.9 km,6 mins
41,3815 Pier St,"['40.4396963', '-79.9536541']",1.5 km,5 mins
42,3728 Dawson St,"['40.43802669999999', '-79.9518398']",1.7 km,5 mins
43,316 Semple St,"['40.4383188', '-79.956757']",1.8 km,6 mins
44,3441 Ward St,"['40.43594040000001', '-79.95450129999999']",3.1 km,7 mins
45,424 Atwood St,"['40.4374088', '-79.95337359999999']",1.8 km,6 mins
46,416 Oakland Ave,"['40.4380651', '-79.9529544']",1.8 km,6 mins
47,430 Atwood St,"['40.4372301', '-79.95319180000001']",1.9 km,6 mins
48,6 Welsford St,"['40.4350669', '-79.9552818']",3.0 km,7 mins
49,332 S Bouquet St,"['40.4401499', '-79.95358809999999']",1.4 km,5 mins
50,420 Oakland Ave,"['40.4380397', '-79.95283789999999']",1.8 km,6 mins
51,3617 Boulevard of the Allies,"['40.4347399', '-79.9538836']",2.9 km,6 mins
52,3450 Ward St,"['40.4359171', '-79.9538504']",3.1 km,7 mins
53,326 S Bouquet St Unit 3,"['40.4402109', '-79.95361']",1.4 km,4 mins
54,306 Atwood St,"['40.4393883', '-79.95580629999999']",1.6 km,6 mins
55,3303 Parkview Ave,"['40.4318307', '-79.95303129999999']",2.5 km,8 mins
56,3204 Kennett Sq,"['40.4343922', '-79.9611439']",2.4 km,9 mins
57,202 Ophelia St,"['40.4355239', '-79.964838']",2.5 km,9 mins
58,29 Lawn St,"['40.4351845', '-79.965166']",2.7 km,9 mins
59,3353 Dawson St,"['40.4333793', '-79.953653']",2.3 km,7 mins
60,3244 Dawson St,"['40.4310762', '-79.9536974']",2.5 km,8 mins
61,3257 Dawson St,"['40.4316497', '-79.9543968']",2.5 km,8 mins
62,3243 Juliet St,"['40.4329644', '-79.9568463']",2.5 km,8 mins
63,3209 Kennett Sq Unit 2,"['40.4346758', '-79.9614007']",2.4 km,8 mins
64,3322 Niagara St,"['40.4354299', '-79.959434']",2.3 km,8 mins
65,3621 Childs St,"['40.4309373', '-79.9522222']",2.7 km,8 mins
66,2 Mackey St Unit mckee,"['40.43306', '-79.9596775']",2.9 km,10 mins
67,3202 Niagara St Unit 2,"['40.4338143', '-79.9601114']",2.5 km,9 mins
68,311 Lawn St,"['40.4344746', '-79.9632737']",2.5 km,9 mins
69,3331 Niagara St,"['40.4357501', '-79.95955359999999']",2.3 km,7 mins
70,39 Lawn St,"['40.43501029999999', '-79.96481059999999']",2.7 km,9 mins
71,3221 Juliet St,"['40.4323684', '-79.956757']",2.5 km,8 mins
72,3404 Juliet St,"['40.4342455', '-79.9559368']",2.3 km,7 mins
73,508 Cato St,"['40.4330128', '-79.9560139']",2.4 km,8 mins
74,3211 Niagara St Unit 1,"['40.4343012', '-79.96038460000001']",2.5 km,9 mins
75,3213 Kennett Sq Unit 1,"['40.4347247', '-79.96128689999999']",2.4 km,8 mins
