,urls,pics,address,price,bed,baths,sqFt,policy
0,https://www.redfin.com/PA/Pittsburgh/3955-Bigelow-Blvd-15213/apartment/73500206,https://ssl.cdn-redfin.com/photo/rent/6e12b959-1b99-488c-95e1-9c7019ed11fe/islphoto/genIsl.0_2.jpg,3955 Bigelow Blvd,"$2,050/mo",2,1.5,"1,392",Cats Welcome
1,https://www.redfin.com/PA/Pittsburgh/Oakland-Apartments/apartment/74567606,https://ssl.cdn-redfin.com/photo/rent/8399065c-c4ce-4bf0-9e04-04f2c5dfdf89/islphoto/genIsl.0_1.jpg,Oakland Apartments,"$1,598-$5,398/mo",2-5,1-3,"750-2,450",Cats Welcome
2,https://www.redfin.com/PA/Pittsburgh/321-Melwood-Ave-15213/home/74564650,https://ssl.cdn-redfin.com/photo/rent/d1518bd3-0c49-4616-b324-647820772dd8/islphoto/genIsl.0_1.jpg,321 Melwood Ave,$925/mo,1,1,500,Cats Welcome
3,https://www.redfin.com/PA/Pittsburgh/3889-Bigelow-Blvd-15213/home/147503353,https://ssl.cdn-redfin.com/photo/rent/d08e3ccd-ec0c-44eb-8781-5d6566438809/islphoto/genIsl.0_3.jpg,3889 Bigelow Blvd,$950/mo,1,1,—,
4,https://www.redfin.com/PA/Pittsburgh/4600-Bayard-St-15213/apartment/177413270,https://ssl.cdn-redfin.com/photo/rent/ccf516cc-1900-4f8c-ba79-1d30fd97742d/islphoto/genIsl.0_1.jpg,4600 Bayard St,"$1,050/mo",0,1,308,Cats Welcome
5,https://www.redfin.com/PA/Pittsburgh/325-N-Craig-St-15213/unit-701/apartment/182767214,https://ssl.cdn-redfin.com/photo/rent/026449ee-e477-4260-a999-6468bb807b34/islphoto/genIsl.0_1.jpg,325 N Craig St Unit 701,"$1,847/mo",2,1,900,
6,https://www.redfin.com/PA/Pittsburgh/222-Melwood-Ave-15213/unit-302/apartment/180323546,https://ssl.cdn-redfin.com/photo/rent/99f9e937-668b-422d-b88b-bbcb80d2badf/islphoto/genIsl.0_1.jpg,222 Melwood Ave Unit 302,"$1,749/mo",2,1,—,
7,https://www.redfin.com/PA/Pittsburgh/3883-Bigelow-Blvd-15213/unit-2/apartment/182629102,https://ssl.cdn-redfin.com/photo/rent/6b0f572c-1e8c-47ed-8df3-abcdd1d8758b/islphoto/genIsl.0_1.jpg,3883 Bigelow Blvd Unit 2,"$2,465/mo",3,1.5,"1,220",
8,https://www.redfin.com/PA/Pittsburgh/222-Melwood-Ave-15213/unit-504/apartment/182767293,https://ssl.cdn-redfin.com/photo/rent/f948bb91-b9e9-442d-a332-906ba69655ec/islphoto/genIsl.0_1.jpg,222 Melwood Ave Unit 504,"$1,880/mo",2,1,755,
9,https://www.redfin.com/PA/Pittsburgh/225-N-Neville-St-15213/home/74564643,https://ssl.cdn-redfin.com/photo/rent/ae76e2b4-ad24-443d-8d2f-d3c0b74dcdb6/islphoto/genIsl.0_2.jpg,225 N Neville St,"$2,015/mo",4,1,"1,200",
10,https://www.redfin.com/PA/Pittsburgh/325-N-Craig-St-15213/unit-604/apartment/182767218,https://ssl.cdn-redfin.com/photo/rent/c00a01aa-cb98-4f1a-9f9f-a6f948392fa2/islphoto/genIsl.0_1.jpg,325 N Craig St Unit 604,"$2,259/mo",3,2,"1,040",
11,https://www.redfin.com/PA/Pittsburgh/330-Melwood-Ave-15213/unit-1/apartment/182767234,https://ssl.cdn-redfin.com/photo/rent/065ae1db-f8e1-4d6e-9f76-26f5d1074aa4/islphoto/genIsl.0_2.jpg,330 Melwood Ave Unit 1,"$2,239/mo",4,1,"1,250",
12,https://www.redfin.com/PA/Pittsburgh/217-N-Neville-St-15213/home/74564639,https://ssl.cdn-redfin.com/photo/rent/943ca992-b545-4f06-a6b4-104daa6f1f32/islphoto/genIsl.0_3.jpg,217 N Neville St,"$2,115/mo",3,1,—,
13,https://www.redfin.com/PA/Pittsburgh/286-N-Bellefield-Ave-15213/home/74567381,https://ssl.cdn-redfin.com/photo/rent/6de49f95-e1c5-4e4a-a48b-39583a42b975/islphoto/genIsl.0_3.jpg,286 N Bellefield Ave,"$2,075/mo",2,1,—,Cats Welcome
14,https://www.redfin.com/PA/Pittsburgh/221-N-Dithridge-St-15213/unit-1/apartment/182767472,https://ssl.cdn-redfin.com/photo/rent/8a00a75f-beed-44e0-9f3c-d13698950e93/islphoto/genIsl.0_1.jpg,221 N Dithridge St Unit 1,"$1,988/mo",2,1,"1,070",
15,https://www.redfin.com/PA/Pittsburgh/4521-Centre-Ave-15213/home/163309527,https://ssl.cdn-redfin.com/photo/rent/6f81efcf-99b7-46d8-8b90-4aaa73ead653/islphoto/genIsl.0_2.jpg,4521 Centre Ave,"$1,200/mo",2,1,750,Cats Welcome
16,https://www.redfin.com/PA/Pittsburgh/245-N-Dithridge-St-15213/home/74567728,https://ssl.cdn-redfin.com/photo/rent/5e857969-ce58-4781-9c24-99435daeaf79/islphoto/genIsl.0_1.jpg,245 N Dithridge St,$700/mo,1,1,—,
17,https://www.redfin.com/PA/Pittsburgh/317-N-Craig-St-15213/unit-105/apartment/181784156,https://ssl.cdn-redfin.com/photo/rent/de00762b-a5e0-499d-80d2-06dc9dd79527/islphoto/genIsl.0_1.jpg,317 N Craig St Unit 105,"$1,880/mo",2,1,—,
18,https://www.redfin.com/PA/Pittsburgh/222-Melwood-Ave-15213/unit-701/apartment/182767874,https://ssl.cdn-redfin.com/photo/rent/4a309a7a-fa9b-4628-8850-0998ce5e4051/islphoto/genIsl.0_1.jpg,222 Melwood Ave Unit 701,"$3,998/mo",4,1,"2,040",
19,https://www.redfin.com/PA/Pittsburgh/275-N-Dithridge-St-15213/home/74567426,https://ssl.cdn-redfin.com/photo/rent/5b15ee79-1e49-4f0d-8e70-bfe3b2cdc0cd/islphoto/genIsl.0_1.jpg,275 N Dithridge St,"$2,400/mo",3,2,—,
