,name,lat&lng,distance,drivingtime
0,401 Amberson Ave,"['40.4531841', '-79.9408445']",1.4 km,6 mins
1,5425 Howe St,"['40.4502853', '-79.93395060000002']",1.6 km,5 mins
2,5030 Centre Ave,"['40.4537737', '-79.9431412']",1.5 km,6 mins
3,585 S Negley Ave,"['40.4551724', '-79.93248179999999']",2.0 km,6 mins
4,5700 Centre Ave,"['40.4571855', '-79.9335236']",2.3 km,8 mins
5,6005 Fifth Ave,"['40.4522668', '-79.9238314']",2.3 km,6 mins
6,5435 Claybourne St,"['40.4555197', '-79.9365401']",1.9 km,7 mins
7,734 Maryland Ave,"['40.4530028', '-79.92917349999999']",2.2 km,7 mins
8,327 N Neville St,"['40.4518732', '-79.9491079']",1.5 km,5 mins
9,700 Ivy St Unit 4,"['40.4528318', '-79.9330646']",2.0 km,7 mins
10,729 S Negley Ave Unit 3,"['40.4524672', '-79.9309077']",2.1 km,7 mins
11,636 Maryland Ave,"['40.4552586', '-79.9305086']",2.2 km,7 mins
12,910 Bellefonte St,"['40.4498024', '-79.9333473']",1.6 km,6 mins
13,705 S Aiken Ave,"['40.4518199', '-79.93587869999999']",1.7 km,6 mins
14,357 Spahr St Unit 3,"['40.455457', '-79.9275121']",2.6 km,8 mins
15,513 N Neville St Unit A-1,"['40.4500518', '-79.94810249999999']",1.3 km,5 mins
16,5405 Fifth Ave,"['40.4488201', '-79.9340587']",1.4 km,5 mins
17,333 Morewood Ave,"['40.4533748', '-79.94353459999999']",1.5 km,5 mins
18,5531 Kentucky Ave Unit 3,"['40.450049', '-79.9321006']",1.7 km,5 mins
19,352 Lamont Pl,"['40.4557287', '-79.92709479999999']",2.6 km,9 mins
20,5747 Holden St,"['40.4547705', '-79.9305912']",2.2 km,7 mins
21,5934 Elwood St Unit 401,"['40.4544562', '-79.92598180000002']",2.6 km,8 mins
22,5729 Holden St,"['40.4545315', '-79.9311711']",2.1 km,7 mins
23,640 College St Unit 1,"['40.4557219', '-79.9287363']",2.6 km,8 mins
24,5260 Centre Ave,"['40.45564', '-79.9388134']",1.9 km,6 mins
