,address,urls,pics,price,bed,baths,sqFt,policy,distance,drivingtime
0,401 Amberson Ave,https://www.redfin.com/PA/Pittsburgh/Shadyside-Commons/apartment/74662167,https://ssl.cdn-redfin.com/photo/rent/a654b65a-2f41-4d8a-a891-59b1cbf818f2/islphoto/genIsl.0_2.jpg,Contact For Price,—,—,—,Dogs Welcome,1.4 km,6 mins
1,5425 Howe St,https://www.redfin.com/PA/Pittsburgh/Walnut-Place-Apartments/apartment/74665000,https://ssl.cdn-redfin.com/photo/rent/022d5a8a-c2d3-490c-97a6-360ef9abb56d/islphoto/genIsl.0_1.jpg,"$900-$1,500/mo",1月2日,1月2日,—,No Pets Allowed,1.6 km,5 mins
2,5030 Centre Ave,https://www.redfin.com/PA/Pittsburgh/Amberson-Plaza-Apartments/apartment/74661987,https://ssl.cdn-redfin.com/photo/rent/e793f679-11c0-4b46-92eb-d010a109d12f/islphoto/genIsl.0_2.jpg,"$1,255-$1,600/mo",1月2日,1,680-720,No Pets Allowed,1.5 km,6 mins
3,585 S Negley Ave,https://www.redfin.com/PA/Pittsburgh/Thames-Manor-Apartments/apartment/74745749,https://ssl.cdn-redfin.com/photo/rent/461363c5-a2cc-46e1-8f95-1d70b0b242db/islphoto/genIsl.0_1.jpg,"$1,040-$1,465/mo",1月2日,1,—,Cats Welcome,2.0 km,6 mins
4,5700 Centre Ave,https://www.redfin.com/PA/Pittsburgh/Kennilworth-Apartments/apartment/177403029,https://ssl.cdn-redfin.com/photo/rent/03be1d1d-1f99-41e7-85df-55eb1ba96fed/islphoto/genIsl.0_1.jpg,"$700-$1,200/mo",0-2,1,369-730,No Pets Allowed,2.3 km,8 mins
5,6005 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/Shadyside-Apartments/apartment/177354563,https://ssl.cdn-redfin.com/photo/rent/7b653eb1-1b7a-4c55-985a-dc8094ec419c/islphoto/genIsl.0_2.jpg,"$1,339/mo",1,1,—,Cats Welcome,2.3 km,6 mins
6,5435 Claybourne St,https://www.redfin.com/PA/Pittsburgh/5435-Claybourne-St-15232/apartment/73505806,https://ssl.cdn-redfin.com/photo/rent/c60d1199-9238-4013-b992-2c962704b92c/islphoto/genIsl.0_2.jpg,"$1,085-$1,795/mo",1月2日,1月2日,"748-1,184",No Pets Allowed,1.9 km,7 mins
7,734 Maryland Ave,https://www.redfin.com/PA/Pittsburgh/734-Maryland-Ave-15232/home/74745907,https://ssl.cdn-redfin.com/photo/rent/29e18f06-2add-46c9-a722-ed9a2cd3c5a5/islphoto/genIsl.0_3.jpg,"$1,795/mo",2,1,"1,100",Cats Welcome,2.2 km,7 mins
8,327 N Neville St,https://www.redfin.com/PA/Pittsburgh/327-N-Neville-St-15213/apartment/74664440,https://ssl.cdn-redfin.com/photo/rent/e8d1e589-ec12-4278-a8f5-9bc7fd325b40/islphoto/genIsl.0_2.jpg,"$2,250/mo",3,2,—,Dogs Welcome,1.5 km,5 mins
9,700 Ivy St Unit 4,https://www.redfin.com/PA/Pittsburgh/700-Ivy-St-15232/unit-4/apartment/181861698,https://ssl.cdn-redfin.com/photo/rent/abaace43-4723-47e3-9557-4e815abd8693/islphoto/genIsl.0_1.jpg,—,—,—, ,,2.0 km,7 mins
10,729 S Negley Ave Unit 3,https://www.redfin.com/PA/Pittsburgh/729-S-Negley-Ave-15232/unit-3/home/182745946,https://ssl.cdn-redfin.com/photo/rent/fe216abc-c226-497c-b5b7-ff82f2a58334/islphoto/genIsl.0_1.jpg,"$2,700/mo",3,3,—,,2.1 km,7 mins
11,636 Maryland Ave,https://www.redfin.com/PA/Shadyside/636-Maryland-Ave-15232/home/74745729,https://ssl.cdn-redfin.com/photo/rent/fe3e7957-9707-4be8-b9cc-e1730cd2635b/islphoto/genIsl.0_2.jpg,$995/mo,1,1,—,Cats Welcome,2.2 km,7 mins
12,910 Bellefonte St,https://www.redfin.com/PA/Pittsburgh/910-Bellefonte-St-15232/home/74665358,https://ssl.cdn-redfin.com/photo/rent/c1ef8228-566b-4491-8665-b5b60c7f467b/islphoto/genIsl.0_1.jpg,"$3,000/mo",3,3,—,,1.6 km,6 mins
13,705 S Aiken Ave,https://www.redfin.com/PA/Pittsburgh/705-S-Aiken-Ave-15232/home/74664960,https://ssl.cdn-redfin.com/photo/rent/add2c107-4d83-4c86-9c33-eca6ccec44f8/islphoto/genIsl.0_1.jpg,"$1,175/mo",1,1,800,,1.7 km,6 mins
14,357 Spahr St Unit 3,https://www.redfin.com/PA/Pittsburgh/357-Spahr-St-15232/unit-3/apartment/182508124,https://ssl.cdn-redfin.com/photo/rent/14aedcee-7694-45db-88c2-175e870ee45c/islphoto/genIsl.0_2.jpg,"$1,350/mo",1,1,—,Dogs Welcome,2.6 km,8 mins
15,513 N Neville St Unit A-1,https://www.redfin.com/PA/Pittsburgh/513-N-Neville-St-15213/unit-A-1/apartment/182789392,https://ssl.cdn-redfin.com/photo/rent/eabba10a-60c8-4d9b-9c6a-ffc45df973d7/islphoto/genIsl.0_1.jpg,—,—,—, ,,1.3 km,5 mins
16,5405 Fifth Ave,https://www.redfin.com/PA/Pittsburgh/5405-Fifth-Ave-15232/apartment/74665488,https://ssl.cdn-redfin.com/photo/rent/c65c2170-05e9-4db9-92c5-7ea6a7fb0b5d/islphoto/genIsl.0_1.jpg,"$1,445/mo",2,1,725,Dogs Welcome,1.4 km,5 mins
17,333 Morewood Ave,https://www.redfin.com/PA/Pittsburgh/333-Morewood-Ave-15213/apartment/74662005,https://ssl.cdn-redfin.com/photo/rent/77285d22-aa05-49b5-af6c-b6dfc7a14858/islphoto/genIsl.0_1.jpg,"$1,399/mo",1,1,825,Cats Welcome,1.5 km,5 mins
18,5531 Kentucky Ave Unit 3,https://www.redfin.com/PA/Pittsburgh/5531-Kentucky-Ave-15232/unit-3/apartment/182582886,https://ssl.cdn-redfin.com/photo/rent/95c1b2b0-16d9-49a2-9abd-39d84cb87eec/islphoto/genIsl.1_1.jpg,"$1,650/mo",1,1,—,Cats Welcome,1.7 km,5 mins
19,352 Lamont Pl,https://www.redfin.com/PA/Pittsburgh/352-Lamont-Pl-15232/home/74745702,https://ssl.cdn-redfin.com/photo/rent/4053a9c9-093a-41d2-ac95-4e060c2452e9/islphoto/genIsl.0_2.jpg,"$2,200/mo",2,2,—,Cats Welcome,2.6 km,9 mins
20,5747 Holden St,https://www.redfin.com/PA/Pittsburgh/5747-Holden-St-15232/apartment/74745867,https://ssl.cdn-redfin.com/photo/rent/abe2cbd6-ae34-4f3a-9f59-7adc721189c8/islphoto/genIsl.0_4.jpg,"$1,295/mo",2,1,610,Dogs Welcome,2.2 km,7 mins
21,5934 Elwood St Unit 401,https://www.redfin.com/PA/Pittsburgh/5934-Elwood-St-15232/unit-401/home/182745654,https://ssl.cdn-redfin.com/photo/rent/121d562b-2328-4d27-83e0-df7f09cd666b/islphoto/genIsl.0_1.jpg,"$1,440/mo",1,1,—,Dogs Welcome,2.6 km,8 mins
22,5729 Holden St,https://www.redfin.com/PA/Pittsburgh/5729-Holden-St-15232/apartment/74745878,https://ssl.cdn-redfin.com/photo/rent/c8439a7b-b33b-47c8-8733-fcde9607b695/islphoto/genIsl.0_1.jpg,"$2,250/mo",3,2,—,,2.1 km,7 mins
23,640 College St Unit 1,https://www.redfin.com/PA/Pittsburgh/640-College-St-15232/unit-1/apartment/182789854,https://ssl.cdn-redfin.com/photo/rent/b739fa70-8182-49bd-8775-797f137e826c/islphoto/genIsl.0_1.jpg,$795/mo,1,1,—,,2.6 km,8 mins
24,5260 Centre Ave,https://www.redfin.com/PA/Pittsburgh/Coronado-Apartments/apartment/74662295,https://ssl.cdn-redfin.com/photo/rent/77fc52bc-2059-41ed-b839-0f6dc5d969fc/islphoto/genIsl.0_1.jpg,$710/mo,0,1,365,Fish Welcome,1.9 km,6 mins
