,urls,pics,address,price,bed,baths,sqFt,policy
0,https://www.redfin.com/PA/Pittsburgh/Shadyside-Commons/apartment/74662167,https://ssl.cdn-redfin.com/photo/rent/a654b65a-2f41-4d8a-a891-59b1cbf818f2/islphoto/genIsl.0_2.jpg,401 Amberson Ave,Contact For Price,—,—,—,Dogs Welcome
1,https://www.redfin.com/PA/Pittsburgh/Walnut-Place-Apartments/apartment/74665000,https://ssl.cdn-redfin.com/photo/rent/022d5a8a-c2d3-490c-97a6-360ef9abb56d/islphoto/genIsl.0_1.jpg,5425 Howe St,"$900-$1,500/mo",1月2日,1月2日,—,No Pets Allowed
2,https://www.redfin.com/PA/Pittsburgh/Amberson-Plaza-Apartments/apartment/74661987,https://ssl.cdn-redfin.com/photo/rent/e793f679-11c0-4b46-92eb-d010a109d12f/islphoto/genIsl.0_2.jpg,5030 Centre Ave,"$1,255-$1,600/mo",1月2日,1,680-720,No Pets Allowed
3,https://www.redfin.com/PA/Pittsburgh/Thames-Manor-Apartments/apartment/74745749,https://ssl.cdn-redfin.com/photo/rent/461363c5-a2cc-46e1-8f95-1d70b0b242db/islphoto/genIsl.0_1.jpg,585 S Negley Ave,"$1,040-$1,465/mo",1月2日,1,—,Cats Welcome
4,https://www.redfin.com/PA/Pittsburgh/Kennilworth-Apartments/apartment/177403029,https://ssl.cdn-redfin.com/photo/rent/03be1d1d-1f99-41e7-85df-55eb1ba96fed/islphoto/genIsl.0_1.jpg,5700 Centre Ave,"$700-$1,200/mo",0-2,1,369-730,No Pets Allowed
5,https://www.redfin.com/PA/Pittsburgh/Shadyside-Apartments/apartment/177354563,https://ssl.cdn-redfin.com/photo/rent/7b653eb1-1b7a-4c55-985a-dc8094ec419c/islphoto/genIsl.0_2.jpg,6005 Fifth Ave,"$1,339/mo",1,1,—,Cats Welcome
6,https://www.redfin.com/PA/Pittsburgh/5435-Claybourne-St-15232/apartment/73505806,https://ssl.cdn-redfin.com/photo/rent/c60d1199-9238-4013-b992-2c962704b92c/islphoto/genIsl.0_2.jpg,5435 Claybourne St,"$1,085-$1,795/mo",1月2日,1月2日,"748-1,184",No Pets Allowed
7,https://www.redfin.com/PA/Pittsburgh/734-Maryland-Ave-15232/home/74745907,https://ssl.cdn-redfin.com/photo/rent/29e18f06-2add-46c9-a722-ed9a2cd3c5a5/islphoto/genIsl.0_3.jpg,734 Maryland Ave,"$1,795/mo",2,1,"1,100",Cats Welcome
8,https://www.redfin.com/PA/Pittsburgh/327-N-Neville-St-15213/apartment/74664440,https://ssl.cdn-redfin.com/photo/rent/e8d1e589-ec12-4278-a8f5-9bc7fd325b40/islphoto/genIsl.0_2.jpg,327 N Neville St,"$2,250/mo",3,2,—,Dogs Welcome
9,https://www.redfin.com/PA/Pittsburgh/700-Ivy-St-15232/unit-4/apartment/181861698,https://ssl.cdn-redfin.com/photo/rent/abaace43-4723-47e3-9557-4e815abd8693/islphoto/genIsl.0_1.jpg,700 Ivy St Unit 4,—,—,—, ,
10,https://www.redfin.com/PA/Pittsburgh/729-S-Negley-Ave-15232/unit-3/home/182745946,https://ssl.cdn-redfin.com/photo/rent/fe216abc-c226-497c-b5b7-ff82f2a58334/islphoto/genIsl.0_1.jpg,729 S Negley Ave Unit 3,"$2,700/mo",3,3,—,
11,https://www.redfin.com/PA/Shadyside/636-Maryland-Ave-15232/home/74745729,https://ssl.cdn-redfin.com/photo/rent/fe3e7957-9707-4be8-b9cc-e1730cd2635b/islphoto/genIsl.0_2.jpg,636 Maryland Ave,$995/mo,1,1,—,Cats Welcome
12,https://www.redfin.com/PA/Pittsburgh/910-Bellefonte-St-15232/home/74665358,https://ssl.cdn-redfin.com/photo/rent/c1ef8228-566b-4491-8665-b5b60c7f467b/islphoto/genIsl.0_1.jpg,910 Bellefonte St,"$3,000/mo",3,3,—,
13,https://www.redfin.com/PA/Pittsburgh/705-S-Aiken-Ave-15232/home/74664960,https://ssl.cdn-redfin.com/photo/rent/add2c107-4d83-4c86-9c33-eca6ccec44f8/islphoto/genIsl.0_1.jpg,705 S Aiken Ave,"$1,175/mo",1,1,800,
14,https://www.redfin.com/PA/Pittsburgh/357-Spahr-St-15232/unit-3/apartment/182508124,https://ssl.cdn-redfin.com/photo/rent/14aedcee-7694-45db-88c2-175e870ee45c/islphoto/genIsl.0_2.jpg,357 Spahr St Unit 3,"$1,350/mo",1,1,—,Dogs Welcome
